"","V1"
"2498",1
"2499",5
"2500",5
"2501",2
"2502",5
"2503",1
"2504",5
"2505",4
"2506",1
"2507",5
"2508",5
"2509",5
"2510",4
"2511",5
"2512",2
"2513",4
"2514",5
"2515",5
"2516",5
"2517",5
"2518",5
"2519",4
"2520",5
"2521",5
"2522",5
"2523",5
"2524",4
"2525",4
"2526",4
"2527",4
"2528",5
"2529",4
"2530",5
"2531",5
"2532",3
"2533",1
"2534",4
"2535",4
"2536",2
"2537",5
"2538",5
"2539",5
"2540",4
"2541",2
"2542",5
"2543",4
"2544",2
"2545",4
"2546",5
"2547",4
"2548",3
"2549",3
"2550",3
"2551",1
"2552",3
"2553",3
"2554",1
"2555",1
"2556",3
"2557",1
"2558",3
"2559",2
"2560",1
"2561",2
"2562",4
"2563",3
"2564",3
"2565",1
"2566",5
"2567",4
"2568",3
"2569",1
"2570",4
"2571",1
"2572",1
"2573",1
"2574",1
"2575",3
"2576",2
"2577",5
"2578",1
"2579",4
"2580",3
"2581",3
"2582",1
"2583",4
"2584",5
"2585",1
"2586",3
"2587",4
"2588",4
"2589",3
"2590",4
"2591",5
"2592",4
"2593",1
"2594",4
"2595",3
"2596",1
"2597",1
"2598",5
"2599",1
"2600",5
"2601",5
"2602",2
"2603",1
"2604",5
"2605",4
"2606",2
"2607",3
"2608",5
"2609",2
"2610",3
"2611",2
"2612",1
"2613",4
"2614",3
"2615",4
"2616",1
"2617",1
"2618",3
"2619",3
"2620",4
"2621",3
"2622",1
"2623",2
"2624",3
"2625",3
"2626",1
"2627",4
"2628",3
"2629",3
"2630",3
"2631",5
"2632",1
"2633",3
"2634",1
"2635",4
"2636",1
"2637",1
"2638",3
"2639",3
"2640",1
"2641",3
"2642",1
"2643",3
"2644",4
"2645",1
"2646",5
"2647",1
"2648",5
"2649",1
"2650",2
"2651",4
"2652",2
"2653",1
"2654",3
"2655",4
"2656",4
"2657",1
"2658",5
"2659",3
"2660",1
"2661",3
"2662",1
"2663",3
"2664",4
"2665",1
"2666",3
"2667",4
"2668",4
"2669",3
"2670",1
"2671",3
"2672",4
"2673",5
"2674",1
"2675",1
"2676",5
"2677",1
"2678",1
"2679",4
"2680",2
"2681",1
"2682",2
"2683",4
"2684",4
"2685",3
"2686",3
"2687",5
"2688",3
"2689",4
"2690",1
"2691",4
"2692",5
"2693",2
"2694",1
"2695",2
"2696",1
"2697",2
"2698",1
"2699",5
"2700",5
"2701",4
"2702",4
"2703",2
"2704",3
"2705",4
"2706",4
"2707",3
"2708",5
"2709",1
"2710",5
"2711",5
"2712",4
"2713",5
"2714",4
"2715",5
"2716",4
"2717",5
"2718",5
"2719",1
"2720",3
"2721",5
"2722",2
"2723",5
"2724",2
"2725",3
"2726",4
"2727",5
"2728",1
"2729",2
"2730",4
"2731",4
"2732",4
"2733",4
"2734",5
"2735",4
"2736",4
"2737",2
"2738",4
"2739",4
"2740",5
"2741",4
"2742",1
"2743",5
"2744",5
"2745",2
"2746",5
"2747",5
"2748",5
"2749",1
"2750",5
"2751",5
"2752",1
"2753",5
"2754",4
"2755",5
"2756",4
"2757",5
"2758",3
"2759",4
"2760",2
"2761",5
"2762",5
"2763",4
"2764",5
"2765",1
"2766",1
"2767",4
"2768",4
"2769",2
"2770",5
"2771",4
"2772",5
"2773",5
"2774",5
"2775",5
"2776",4
"2777",5
"2778",5
"2779",4
"2780",5
"2781",4
"2782",1
"2783",5
"2784",1
"2785",5
"2786",2
"2787",5
"2788",1
"2789",5
"2790",4
"2791",5
"2792",1
"2793",4
"2794",4
"2795",4
"2796",4
"2797",1
"2798",4
"2799",4
"2800",2
"2801",4
"2802",5
"2803",5
"2804",1
"2805",1
"2806",1
"2807",1
"2808",4
"2809",2
"2810",4
"2811",3
"2812",5
"2813",4
